# state.teams.has( 存量 baseline（棘輪閘豁免）
# 判準來源：docs/process/teams-has-callsites.tsv 表頭那套（不是重新發明的）
# ★每列帶 owner ＋【觸發條件】＝【那一行被碰到時】(on-touch)；
#   ★★不是日期：日期會過期而沒有人處理，觸發條件不會。
# ★★★[G]（純存在問句）不在本表：本閘本來就不咬它。
# ★key ＝ site ＋ code（正規化文字），**不是行號** —— 行號會漂，文字不會；
#   而動了那一行文字就變 ⇒ 豁免自動蒸發 ＝ on-touch 【機械為真】。
site	code	class	owner	trigger	reason
scripts/simulation/faction_ai_system.gd	if mid == f.leader_team_id or not state.teams.has(mid):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @6082 var snap: Dictionary = f.known_member_states.get(mid, {})
scripts/simulation/faction_ai_system.gd	if old_owner_id != -1 and state.teams.has(old_owner_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @7159 var oid_team: TeamData = state.teams[old_owner_id]
scripts/simulation/faction_ai_system.gd	if owner_id == -1 or not state.teams.has(owner_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @7437 var snap: Dictionary = BeliefSystem.best_estimate(state, team.team_id,
scripts/simulation/game_setup.gd	if cfg_to_actual.has(fid2) and state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @701 state.set_team_faction(state.teams[tid], cfg_to_actual[fid2])
scripts/simulation/game_setup.gd	if pteam_id == -1 or not state.teams.has(pteam_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @806 var pteam: TeamData = state.teams[pteam_id]
scripts/simulation/interaction_system.gd	if not state.teams.has(arrived_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @85 var arrived: TeamData = state.teams[arrived_id]
scripts/simulation/interaction_system.gd	if not state.teams.has(other_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @94 var other: TeamData = state.teams[other_id]
scripts/simulation/interaction_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @139 var t: TeamData = state.teams[tid]
scripts/simulation/interaction_system.gd	if not state.teams.has(oid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @157 if (state.teams[oid] as TeamData).tile_pos != t.tile_pos:
scripts/simulation/interaction_system.gd	if not state.teams.has(moved_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @178 var moved: TeamData = state.teams[moved_id]
scripts/simulation/interaction_system.gd	if not state.teams.has(other_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @187 var other: TeamData = state.teams[other_id]
scripts/simulation/interaction_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @201 var team: TeamData = state.teams[tid]
scripts/simulation/interaction_system.gd	if not state.teams.has(id_a) or not state.teams.has(id_b):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @306 var a: TeamData = state.teams[id_a]
scripts/simulation/interaction_system.gd	var obs_leader2: PersonData = state.persons.get((state.teams.get(obs_id) as TeamData).leader_id) if state.teams.has(obs_id) else null	M	systems	on-touch:這一行被碰到時轉 live_team()	var obs_leader2: PersonData = state.persons.get((state.teams.get(obs_i
scripts/simulation/invariant_audit.gd	if t.combat_target != -1 and not state.teams.has(t.combat_target):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @120 out.append("懸空 Team%d.combat_target=%d 不存在" % [tid, t.combat_target])
scripts/simulation/invariant_audit.gd	if t.social_target != -1 and not state.teams.has(t.social_target):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @122 out.append("懸空 Team%d.social_target=%d 不存在" % [tid, t.social_target])
scripts/simulation/invariant_audit.gd	if t.order_target_id != -1 and not state.teams.has(t.order_target_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @124 out.append("懸空 Team%d.order_target_id=%d 不存在" % [tid, t.order_target_i
scripts/simulation/invariant_audit.gd	if t.parent_team_id != -1 and not state.teams.has(t.parent_team_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @126 out.append("懸空 Team%d.parent_team_id=%d 不存在" % [tid, t.parent_team_id]
scripts/simulation/invariant_audit.gd	if k is int and not state.teams.has(k):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @130 out.append("懸空 Team%d.known_reputations 含死 Team%d" % [tid, k]); break
scripts/simulation/invariant_audit.gd	if k is int and k != -1 and not state.teams.has(k):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @133 out.append("懸空 Team%d.strategic_assignments 含死 Team%d" % [tid, k]); br
scripts/simulation/invariant_audit.gd	if not state.teams.has(did):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @137 out.append("懸空 team_discovered[%d] 含死 Team%d" % [obs, did]); break
scripts/simulation/manpower_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @275 var holder: TeamData = state.teams[tid]
scripts/simulation/manufacturing_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @137 var team: TeamData = state.teams[tid]
scripts/simulation/message_system.gd	if not state.teams.has(arrived_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @104 var arrived_team: TeamData = state.teams[arrived_id]
scripts/simulation/message_system.gd	if other_id == arrived_id or not state.teams.has(other_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @108 var other_team: TeamData = state.teams[other_id]
scripts/simulation/movement_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @43 var team: TeamData = state.teams[tid]
scripts/simulation/movement_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @66 var team: TeamData = state.teams[tid]
scripts/simulation/npc_ai_system.gd	if foe == null or foe.team_id == leader.team_id or not state.teams.has(foe.team_id):	?	systems	on-touch:這一行被碰到時轉 live_team()	只比較／記帳 @63 return foe.team_id
scripts/simulation/npc_combat_system.gd	if processed.has(tid) or not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @73 var team: TeamData = state.teams[tid]
scripts/simulation/npc_combat_system.gd	if enemy_id == -1 or not state.teams.has(enemy_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @79 var enemy: TeamData = state.teams[enemy_id]
scripts/simulation/npc_combat_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @91 var team: TeamData = state.teams[tid]
scripts/simulation/npc_combat_system.gd	and state.teams.has(loser_id) \	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @454 and state.teams[loser_id].population >= GOVERN_SURVIVE_MIN
scripts/simulation/npc_combat_system.gd	if state.teams.has(pursuer_id) and state.teams.has(retreater_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @538 var _cap: int = AnonTierSystem.capture_routed_as_captive(state, state.
scripts/simulation/npc_combat_system.gd	and state.teams.has(retreater_id) \	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @556 and state.teams[retreater_id].population >= GOVERN_SURVIVE_MIN
scripts/simulation/npc_combat_system.gd	if not state.teams.has(winner_id) or not state.teams.has(loser_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @587 var winner: TeamData = state.teams[winner_id]
scripts/simulation/player_api_mapper.gd	and state.teams.has(focus_team_id) and state.persons.has(focus_member_id)	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @575 "focused_member":     map_focused_member(state, focus_team_id, focus_m
scripts/simulation/player_command_api.gd	if not state.teams.has(target_team_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @57 result = _cmd_sys.execute_action(state, target_team_id, action_id)
scripts/simulation/player_command_system.gd	if tid2 < 0 or not state.teams.has(tid2):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @417 var result2 := _interaction.resolve_trade_direct(state, pt_id, tid2)
scripts/simulation/player_command_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @429 var result := PlayerTradeSystem.new().execute_offer(state, pt_id, tid,
scripts/simulation/player_query_api.gd	if not state.teams.has(team_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @36 var t: TeamData = state.teams[team_id]
scripts/simulation/player_query_api.gd	if not state.teams.has(team_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @64 var discovered: Array = state.team_discovered.get(p.team_id, [])
scripts/simulation/player_query_api.gd	if not state.teams.has(target_team_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @100 if target_team_id != pt_id and not discovered.has(target_team_id):
scripts/simulation/player_query_api.gd	if not state.teams.has(target_team_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @124 if target_team_id != pt_id and not discovered.has(target_team_id):
scripts/simulation/player_query_api.gd	if team_id != -1 and not state.teams.has(team_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @165 var actions := _build_available_actions(state, cmd_sys, team_id, membe
scripts/simulation/player_query_api.gd	if focus_team_id != -1 and focus_team_id != ptid and state.teams.has(focus_team_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @227 var tgt_team: TeamData = state.teams.get(focus_team_id)
scripts/simulation/player_query_api.gd	if ptid == -1 or not state.teams.has(ptid): return null	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @473 var pt: TeamData = state.teams[ptid]
scripts/simulation/population_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @104 var team: TeamData = state.teams[tid]
scripts/simulation/resource_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @77 var team: TeamData = state.teams[tid]
scripts/simulation/resource_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @192 var team: TeamData = state.teams[tid]
scripts/simulation/resource_system.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @351 var team: TeamData = state.teams[tid]
scripts/simulation/sim_runner.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @456 var team: TeamData = state.teams[tid]
scripts/simulation/sim_runner.gd	if not state.teams.has(tid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @489 var _t: TeamData = state.teams[tid]
scripts/simulation/strategic_ai_system.gd	if not state.teams.has(tid): continue	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @145 var t: TeamData = state.teams[tid]
scripts/simulation/vision_system.gd	if tgt.combat_target != -1 and obs_team != null and state.teams.has(tgt.combat_target):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @168 var _foe: TeamData = state.teams[tgt.combat_target]
scripts/simulation/world_events.gd	if id == -1 or not state.teams.has(id):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @85 var _tm = state.teams[id2]
scripts/simulation/world_events.gd	if id2 == -1 or not state.teams.has(id2):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @85 var _tm = state.teams[id2]
scripts/simulation/decision/commitment_fields.gd	if team.order_target_id != -1 and state.teams.has(team.order_target_id):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @87 return {"kind": "order", "site": str(team.order_target_id), "measurabl
scripts/simulation/decision/decision_context.gd	and (c.intent_target == -1 or not state.teams.has(c.intent_target)):	?	systems	on-touch:這一行被碰到時轉 live_team()	只比較／記帳 @766 c.intent_target = _prey
scripts/simulation/decision/decision_context.gd	if _jhost != -1 and state.teams.has(_jhost):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @852 var _jpos: Vector2i = BeliefSystem.belief_pos(state, team.team_id, _jh
scripts/simulation/decision/goal_resolver.gd	if rid == team.team_id or not state.teams.has(rid):	L	systems	on-touch:這一行被碰到時轉 live_team()	取出那支隊 @370 var resident: TeamData = state.teams[rid]
scripts/simulation/decision/goal_resolver.gd	"rid": int(best["rid"]), "rid_fac": (state.teams[int(best["rid"])].faction_id if state.teams.has(int(best["rid"])) else -99),	M	systems	on-touch:這一行被碰到時轉 live_team()	"rid": int(best["rid"]), "rid_fac": (state.teams[int(best["rid"])].fac
scripts/simulation/decision/options.gd	if host == -1 or not state.teams.has(host): return {"task": TeamData.TASK_IDLE, "target": Vector2i(-1, -1)}	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @214 var host_pos: Vector2i = BeliefSystem.belief_pos(state, team.team_id, 
scripts/simulation/decision/options.gd	if prey == -1 or not state.teams.has(prey): return {"task": TeamData.TASK_IDLE, "target": Vector2i(-1, -1)}	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @231 var prey_pos: Vector2i = BeliefSystem.belief_pos(state, team.team_id, 
scripts/simulation/decision/options.gd	if atid == -1 or not state.teams.has(atid):	L	systems	on-touch:這一行被碰到時轉 live_team()	當參數派出去 @344 var atid_pos: Vector2i = BeliefSystem.belief_pos(state, team.team_id, 
